param,rhat,means_by_seed_1,means_by_seed_2,means_by_seed_3
kapk_20,1.00708177905355,2.86325587007298,2.89396508833186,3.18877079004214
kapk_21,1.02468100426468,2.68197672239058,2.24992724432145,2.73939245703116
kapHyp_lm_w2020,1.12611292457085,1.55752483050797,1.43594899874923,1.37952241118547
kapHyp_lm_w2021,1.11848615891401,1.07938708015782,1.18076929369498,1.37377714476184
kapHyp_lm_w2122,2.43200586752539,0.0879582780329475,0.273846443361742,1.28411105724151
kapHyp_lm_w2021tot,1.01203858491952,1.05965353060122,1.09000236065683,1.15131018979765
kapHyp_lm_w2022tot,1.15474607364213,1.2826542064925,0.983173805754403,0.97323773504115
kapHyp_lm_w2023tot,1.03194360035706,1.05319610454412,1.15696432014406,0.998189070910299
kapHyp_la_w2020,1.78229347494106,1.2550360826894,0.636573853243325,0.0242494200118253
kapHyp_la_w2021,1.19343129468471,0.65790913149821,0.311762617164195,0.650176796380778
kapHyp_la_w2122,1.15233558841999,1.17464020535616,1.01374013165629,0.762947174004706
kapHyp_la_w2021tot,1.20360230584771,0.744124497120393,1.2221025667728,0.887412756603789
kapHyp_la_w2022tot,1.45063577815255,0.386681768910039,1.0104686166146,0.196519748771759
kapHyp_la_w2023tot,1.07040604685453,0.713645895606267,0.609959510556888,0.393048980500555
