param,prior_sd,post_sd,contraction,prior_q05,prior_q95,post_q05,post_q95,flag
gzbar,0.149918582672228,0.0791231136228996,0.527773890418168,0.0536646960718366,0.546411131740766,0.0909273333907278,0.349827253840846,partially-identified
sig_gk,0.0170228822880085,0.0087875228866397,0.516218272438501,0.0281602235401459,0.078379323800115,0.0265784871194369,0.0544641654886909,partially-identified
m84_y,0.900894846957002,0.462029157274402,0.512855810902928,0.658770179922518,3.41278435370018,0.570140864264818,2.03646402797769,partially-identified
kaphpp_2022,2.87342099179342,1.39246755695032,0.484602695159272,1.11023943499901,8.54089666729374,2.32777082208382,6.81004330143321,partially-identified
sig_gpr,0.0172344917966069,0.00808977821186091,0.469394648088991,0.0281900453959118,0.0784425551621919,0.0265390552456012,0.0526442117667953,partially-identified
gwbar,0.149926887658904,0.0698485574160588,0.465884128635885,0.154443167130771,0.646841186744174,0.199825545575506,0.425410738247299,partially-identified
sig_ghpp,0.0168184524796258,0.0073882161745824,0.439292270411479,0.0282028522672671,0.0777048497090334,0.0248020725193034,0.0486779587652345,partially-identified
phiy,0.0602760460477688,0.0256950604390277,0.426289747317937,-0.196185348505541,-0.00621410906289038,-0.0905679801789607,-0.0107566382586625,partially-identified
kapu_2122,2.90633455106453,1.16240241689038,0.39995478719565,1.11371345614597,8.56190534878334,1.15466834371204,4.57478294282548,partially-identified
sig_Ustar,0.0514018998757878,0.0195086211848211,0.379531130794066,0.0847441871834207,0.234762052768733,0.0736595216024241,0.136078850328829,partially-identified
gamma1,0.19966525807558,0.0734634526231314,0.367933076245658,0.250482891558591,0.902452219969748,0.40581676692532,0.646447468367932,partially-identified
sig_gw,0.0168005157247482,0.00601868741173386,0.358244205733991,0.0281899324264067,0.0780278202611957,0.0232555786143011,0.0435893646761274,partially-identified
sig_z,0.169917157368757,0.0591575138800666,0.348155035054418,0.281273981219862,0.780392979877456,0.274622967245624,0.463359341337763,partially-identified
pistar,0.500354347841091,0.1727655611666,0.345286419338699,1.67487029046199,3.32148533911487,2.30236269890558,2.85688097631348,partially-identified
kappr_2122,2.92697744044956,0.981689038672503,0.335393442090119,1.11239839931813,8.63632211914505,1.33794560916539,4.33698864202354,partially-identified
rhoU,0.300141178083298,0.0948155982723036,0.31590333215121,0.0396071563688748,0.961741967214026,0.655978395792748,0.964655573985413,partially-identified
m84_c,0.909330938618332,0.279241680959044,0.307084768701847,0.660910719505844,3.4321239020283,0.935353987258962,1.82097077557336,partially-identified
sig_hpp,0.136275771163608,0.0414667589834005,0.304285630742218,0.224946982875295,0.623671692912057,0.167942408267352,0.301277513474493,partially-identified
sig_pr,0.104025693179268,0.0312023209168249,0.299948214361368,0.16938004678324,0.470485256465485,0.144125886106403,0.245553296901405,data-identified
rhopr,0.299758145049103,0.0897908784954563,0.299544415984919,0.0388792536100018,0.960395114014147,0.700387734718747,0.981920939328801,data-identified
phi2,0.479166740302097,0.140805753156495,0.293855439690414,-0.917791079436234,0.60724154579875,-0.358522588313533,0.108216601719855,data-identified
phihpp,0.100197848050537,0.0291084372982503,0.290509605391613,-0.164575265548209,0.164627122707349,-0.0209523683157917,0.0743488180877994,data-identified
phisum,0.289437344535392,0.0774830654554248,0.267702378142674,0.0528295850986404,0.955076764361374,0.726743588747927,0.968184328854334,data-identified
m93_pi,0.897690464136354,0.231484890919936,0.257867160416638,0.658084426221331,3.40125897954818,1.37771761688443,2.1326988384789,data-identified
rhok,0.299539599601397,0.0719258762505813,0.240121427505059,0.0397252781252473,0.961142668859562,0.782059540710652,0.993760966150991,data-identified
sme_pr,0.102935355706731,0.0246651944588567,0.239618295283589,0.169225053460131,0.469177381857257,0.197538505552441,0.279121905379683,data-identified
