param,neff,std_mean,post_sd,mcse_over_sd,rhat_classic,rhat_rank_bulk,rhat_rank_folded
kapk_20,2.34478089894842,1.43086560808846,2.19103834939113,0.653053657635014,1.26329212353403,1.31713935712541,1.09143715504746
xi1,2.43430401167693,0.0450314777832753,0.0702592657245111,0.640932940572496,1.25129009527616,1.23850112016224,1.02592939881523
phi2,2.49868289087907,0.0890768454024845,0.140805753156495,0.632622200482693,1.24332083323649,1.24320907060789,1.0111009229643
sme_U,2.50570507857072,0.0109720786587054,0.017368163107565,0.631735123095795,1.24248236700854,1.24522291727803,1.00691389950319
rhoU,2.54343478752094,0.0594524130227004,0.0948155982723036,0.627031987415797,1.23807547225374,1.2420581726767,1.0179673627715
sig_hpp,2.56738490472599,0.0258794236914705,0.0414667589834005,0.624100468084093,1.23536104307371,1.23186182043235,1.00486691424233
kapc_2021,2.57182883891974,1.50661890876141,2.41615307060103,0.623561034726426,1.23486424332853,1.25049095184414,1.01070215385221
kappi_2023,2.59476593707006,0.368926414807492,0.594276894873469,0.620798853177764,1.23233335373866,1.27275416466765,1.03622059471242
sme_y,2.69937078960812,0.0242148790857987,0.0397844699932014,0.608651543929997,1.22145630834966,1.22305190275423,1.01719188358673
sig_gz,2.8050004077019,0.00675516139767238,0.0113136358018087,0.59708139063416,1.21146764171513,1.20877723278362,1.01194043712959
lam2,2.84197010765275,0.100273116730144,0.169041861630433,0.593185118543986,1.20818292486591,1.20509611501845,1.01845631886315
alphapi,3.06638877044498,0.0300353957321624,0.0525953035896477,0.571066115836134,1.19025834091828,1.21408679822779,1.01145608865245
sig_c,3.07491073333893,0.0269810014249014,0.0473123283369776,0.570274226048056,1.18963872864187,1.19063431095833,1.01931570855532
kaphpp_2022,3.28560658578258,0.768205310700247,1.39246755695032,0.551686326094888,1.17551430595793,1.20607195151702,1.01836734063367
kapHyp_lm_w2020,3.33349573919733,0.161515493227851,0.294892780343243,0.54770921498944,1.17259420221413,1.16432998904975,1.03685055847732
kapu_2122,3.50432233706743,0.620946925110718,1.16240241689038,0.534192734020507,1.1629288774423,1.19033892252259,1.06224404524667
phiu,3.58187682058693,0.00244833578273162,0.0046336828259866,0.528377939249719,1.15889104015858,1.17750152566111,1.02847892203956
sme_pi,4.01523290229902,0.0242726432938009,0.0486376344517319,0.499050654239551,1.13957679662584,1.14556919584914,1.02675990021971
sig_pie,4.17468469865386,0.0113435903214475,0.0231772749847912,0.489427265668249,1.13360542011396,1.133486572027,1.01931744024401
gwbar,4.22662616370011,0.0339750826975535,0.0698485574160588,0.486410656918483,1.13176944308201,1.1298022072305,1.00489644605271
phipr,4.64785974995473,0.00450848302609116,0.00971979144037369,0.463845654893787,1.11856201659361,1.11954163950664,1.01894977634472
theta2,4.90066732200082,0.0454564181222527,0.100628922411741,0.451723192823825,1.11183777668674,1.11103675343748,1.00796585601208
chi1,4.97625255296,0.0124907340410582,0.0278637245330748,0.448279411685665,1.10997335844151,1.10939579881844,1.05538776935155
rhow,5.36425716662329,0.0127927440011434,0.0296291030353961,0.431762783566574,1.10130608365784,1.14282205629447,1.00221920800133
m84_z,5.74031972773546,0.230396038387183,0.552005047033524,0.417380311331087,1.094119118626,1.09574769421716,1.01920676671964
theta1,6.00196594020825,0.0432799798539877,0.106031233374682,0.408181424251189,1.08969303493321,1.08733582360829,1.00879414979376
kapHyp_lm_w2122,6.20450300987795,0.156595449687727,0.390061097221326,0.401463900920303,1.08654311438371,1.08623439196633,1.00721303060919
sme_w,6.73016634710527,0.00261430519106837,0.00678217801286652,0.38546690843395,1.07931518047085,1.08319051304525,1.00257422350001
phik,7.90000410255299,0.000816653768574554,0.00229536433276549,0.355783941101253,1.06688742120023,1.06972011899377,1.02863038222795
lam1,8.0534947040893,0.0490663615804233,0.13924385670238,0.352377208894019,1.06554028732634,1.06092670936988,1.02128122149262
