phiy,sme_y,ll,lp,lpost
-0.122767727924923,0.263136577949886,-283.043302701526,-33.938056976611,-316.981359678137
-0.112992760369267,0.263136577949886,-279.97549979549,-33.8228294204119,-313.798329215902
-0.103217792813611,0.263136577949886,-277.271782563739,-33.7171568632843,-310.988939427023
-0.093442825257955,0.263136577949886,-274.932151006275,-33.621039305228,-308.553190311503
-0.083667857702299,0.263136577949886,-272.956605123096,-33.5344767462432,-306.491081869339
-0.073892890146643,0.263136577949886,-271.345144437366,-33.4574691863298,-304.802613623696
-0.0641179225909869,0.263136577949886,-270.097770379596,-33.3900166254878,-303.487787005084
-0.0543429550353309,0.263136577949886,-269.214481042438,-33.3321190637172,-302.546600106155
-0.0445679874796749,0.263136577949886,-268.695277856403,-33.283776501018,-301.979054357421
-0.0347930199240188,0.263136577949886,-268.540160344653,-33.2449889373903,-301.785149282044
-0.0250180523683628,0.263136577949886,-268.749128030353,-33.2157563728339,-301.964884403187
-0.0152430848127068,0.263136577949886,-269.322181867175,-33.196078807349,-302.518260674524
-0.00546811725705072,0.263136577949886,-270.259321378284,-33.1859562409355,-303.445277619219
-0.142317663036235,0.280619327823658,-289.982148635823,-33.3921548081539,-323.374303443977
-0.132542695480579,0.280619327823658,-286.488426673848,-33.257817253812,-319.74624392766
-0.122767727924923,0.280619327823658,-283.332705486257,-33.1330346985415,-316.465740184798
-0.112992760369267,0.280619327823658,-280.514986026723,-33.0178071423424,-313.532793169065
-0.103217792813611,0.280619327823658,-278.035266387898,-32.9121345852148,-310.947400973113
-0.093442825257955,0.280619327823658,-275.893547523458,-32.8160170271585,-308.709564550616
-0.083667857702299,0.280619327823658,-274.089830863912,-32.7294544681737,-306.819285332085
-0.073892890146643,0.280619327823658,-272.624112594563,-32.6524469082603,-305.276559502824
-0.0641179225909869,0.280619327823658,-271.496397483785,-32.5849943474183,-304.081391831203
-0.0543429550353309,0.280619327823658,-270.706681716878,-32.5270967856477,-303.233778502526
-0.0445679874796749,0.280619327823658,-270.254967201192,-32.4787542229485,-302.73372142414
-0.0347930199240188,0.280619327823658,-270.141253459889,-32.4399666593208,-302.58122011921
-0.0250180523683628,0.280619327823658,-270.36554049297,-32.4107340947644,-302.776274587735
-0.0152430848127068,0.280619327823658,-270.927828300435,-32.3910565292795,-303.318884829715
-0.00546811725705072,0.280619327823658,-271.828116882283,-32.380933962866,-304.209050845149
-0.142317663036235,0.298102077697429,-290.025572519236,-32.7742231304284,-322.799795649665
-0.132542695480579,0.298102077697429,-286.80058000558,-32.6398855760865,-319.440465581666
-0.122767727924923,0.298102077697429,-283.890118579799,-32.515103020816,-316.405221600615
-0.112992760369267,0.298102077697429,-281.294189672404,-32.3998754646169,-313.694065137021
-0.103217792813611,0.298102077697429,-279.012791614467,-32.2942029074893,-311.306994521956
-0.093442825257955,0.298102077697429,-277.04592535966,-32.198085349433,-309.244010709093
-0.083667857702299,0.298102077697429,-275.393591146403,-32.1115227904482,-307.505113936851
-0.073892890146643,0.298102077697429,-274.055788736277,-32.0345152305348,-306.090303966812
-0.0641179225909869,0.298102077697429,-273.032518129283,-31.9670626696928,-304.999580798976
-0.0543429550353309,0.298102077697429,-272.323778371745,-31.9091651079222,-304.232943479667
