L_entry,group,median,q05,q95,band_excludes_zero
Lr_pie_obs_pi,1,-0.00207194681632097,-0.0633242724940035,0.0143485241020092,0
Lr_U_wapop,1,-0.00529724344137443,-0.0617474896262651,0.102843050089457,0
Lr_lpr_wapop,1,0.0237228753080552,-0.0825715249076893,0.089801077043345,0
Lr_hpp_wapop,1,-0.887306062193237,-1.37913657322389,-0.458070916268083,1
Lr_k_wapop,1,0.000369068178993799,-0.0453664675344733,0.0830641616590208,0
Lr_pie_obs_wapop,1,-0.0532283399767007,-0.122170605888425,0.0433335825453979,0
Lr_lpr_U,1,-0.0670805869959895,-0.168667162165976,0.0893683561392809,0
Lr_hpp_U,1,-0.244781064973561,-0.481560167467216,-0.0622485607403446,1
Lr_k_U,1,-0.0597579904943091,-0.144327756198862,0.028261508383399,0
Lr_pie_obs_U,1,-0.125719393147568,-0.278275090233505,0.0503412841117445,0
Lr_hpp_lpr,1,0.135164743714494,0.0252209914580867,0.344075462245291,1
Lr_k_lpr,1,-0.0155251511551134,-0.0771751901101783,0.0264983189945142,0
Lr_pie_obs_lpr,1,0.0111874434290789,-0.00530026632056475,0.0453050060567441,0
Lr_k_hpp,1,0.00819012133872842,-0.0260652105938579,0.0348933515604707,0
Lr_pie_obs_hpp,1,-0.0182617024428562,-0.136630368043601,0.035519194886571,0
Lr_pie_obs_k,1,0.00415020494469512,-0.0657546537485426,0.0865990473969737,0
