param,neff,std_mean,post_sd,mcse_over_sd,rhat_classic,rhat_rank_bulk,rhat_rank_folded
xi2,2.41422948517984,0.0729750175530393,0.113387056945356,0.643592130521635,1.29728680518799,1.29636805768316,1.05051984625527
kapHyp_la_w2122,2.4157864194153,0.356814578769019,0.554589775084104,0.643384704874712,1.29700718325246,1.29617847652794,1.05829333961037
sig_pie,2.48320336414942,0.0173895984466878,0.0274028477352559,0.634590923348258,1.28539067898759,1.2644033047577,1.0906176503173
sig_xi,2.48958306897298,0.0311717662516166,0.0491840992077013,0.63377731327314,1.284338934448,1.30403152616313,1.07324256671526
kapHyp_la_w2023tot,2.51998855845887,0.36243483879007,0.575346163817742,0.629942218411804,1.27943241985664,1.28086639978498,1.09071451525219
sig_pr,2.52437779423484,0.0186102198882941,0.0295684582437488,0.629394327390356,1.27873826886435,1.27758527237902,1.06433815977923
sig_k,2.53680776403967,0.0058387404740154,0.00929957177799987,0.627850465956743,1.27679131397752,1.25109079914588,1.08804847076776
rhow,2.56765357971567,0.0248396209224649,0.0398027591438636,0.624067814813648,1.27207677686569,1.33130252350073,1.09421359721355
gwbar,2.56934544347065,0.051816055308827,0.0830568768940191,0.623862312749184,1.2718228899139,1.26912554955184,1.08700651352849
xi1,2.57076058681626,0.0480930837659086,0.0771104862516442,0.623690578334061,1.27161089686219,1.2692908621517,1.07951639794231
kapu_20,2.5932675598298,1.76429258429546,2.84115071451677,0.620978174540638,1.26828373260772,1.35059969708382,1.08926371074132
m84_c,2.59999597435198,0.230849710947914,0.372233685986549,0.620174153062162,1.26730504801441,1.27569744872481,1.0752506458651
kapy_21,2.62913662362431,1.57929195145002,2.56076072040049,0.616727653961761,1.26314850829972,1.34162317561097,1.0673997706286
sig_gw,2.63071898249603,0.00347075874868343,0.00562939413520829,0.616542147400203,1.26292654682744,1.26916714247122,1.06328824821245
kapy_20,2.64130110141852,2.56988416131566,4.17659634402234,0.615305849461307,1.26145185203797,1.35922666726508,1.06969349840156
kapHyp_la_w2021,2.64584617287747,0.339888719874623,0.552864936385947,0.614777131818958,1.2608235900026,1.25405050807102,1.05148496105981
lam2,2.66516422556735,0.126572568454604,0.206633903792789,0.612545018660298,1.25818700858949,1.25669572622832,1.06469295407947
sig_gz,2.6758999029297,0.0077308185608383,0.0126462106768671,0.61131502221292,1.25674495334974,1.27890003656167,1.06354269618525
sme_k,2.7091280295279,0.00495682562240846,0.00815865193893945,0.607554490558743,1.25238311089219,1.24817613634416,1.04392988825216
kapHyp_la_w2020,2.71727009906434,0.295698920123359,0.487434363820117,0.606643564901558,1.25133707005649,1.24838876022801,1.06924125995627
rhohpp,2.7267907134426,0.106770489433058,0.176310077629465,0.605583588122785,1.25012498848111,1.2489506473644,1.06775334332084
gamma2,2.73039354827025,0.0454052604090803,0.0750272097357271,0.605183913529692,1.24966938421844,1.25431766992097,1.06217169783259
kapk_21,2.76524063288371,1.06086876040231,1.76412000869438,0.601358612324485,1.24534780287411,1.40426940934175,1.08549009843761
rhok,2.82125522479581,0.02814123897534,0.0472676925916886,0.595358847287761,1.23870926592402,1.28707520179056,1.08405729990309
pistar,2.89730709885481,0.111312609983424,0.189470513077608,0.587493051954896,1.23025594265945,1.22447075417356,1.07556291550487
m84_y,2.90003712567072,0.269934311749506,0.459684511222335,0.587216460767257,1.22996371878052,1.28753763325246,1.07437238405902
kapc_2021,3.00278112548416,1.52520167769694,2.642951009522,0.577082841188487,1.21948513554452,1.29101886493155,1.05758291468883
alphapi,3.00743342957902,0.0335540342799749,0.0581892494250843,0.576636313605901,1.21903341109911,1.2406166305874,1.04468813296319
gzbar,3.07556076952515,0.0504723577278992,0.0885147707348877,0.570213957612453,1.21262693512966,1.20840797101814,1.0614300278506
m84_z,3.10961010537195,0.301789132337062,0.532177569731651,0.567083525315128,1.20956461009753,1.2176861261644,1.046117547061
rhopr,3.11968552706101,0.0574382669516653,0.10145109451192,0.566167050518283,1.2086754260107,1.22315893757638,1.05791509780541
phihpp,3.13198888112048,0.0124045008110376,0.0219527735551078,0.565053922680826,1.20759988300389,1.18937504843381,1.07920679343891
kapHyp_la_w2022tot,3.13960596127362,0.300047492247901,0.53165214921302,0.564368060379417,1.20693959149003,1.21091380046237,1.04380298209246
sme_y,3.17067798139973,0.0226530514715362,0.0403369243041522,0.561595904058663,1.20428938641076,1.19670651797806,1.04198400241377
kapk_20,3.20627559739736,1.55021305804689,2.77582329211054,0.558469648429321,1.20133603465214,1.3413078261326,1.06894757167291
